FY19,DEPARTMENT_NAME,DIVISION_NAME,ORG_NAME,ORG_DESC,FUND,FUND_NAME,ACCT_TYPE,ACCT_CAT,ACCT_CODE,ACCT_DESCR,AMOUNT,FID
FY19,Facilities & Fleet Management,Facilities Management,Bridgeview Building,2020 - Bridgeview Building,6310,Facilities Mgmt-Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,24,1560
FY19,Facilities & Fleet Management,Facilities Management,Bridgeview Building,2020 - Bridgeview Building,6310,Facilities Mgmt-Operating,EXPENSE,Supplies,7520,Supplies,5000,1561
FY19,Facilities & Fleet Management,Facilities Management,Bridgeview Building,2020 - Bridgeview Building,6310,Facilities Mgmt-Operating,EXPENSE,Other Services and Charges,9180,Water,3440,1562
FY19,Facilities & Fleet Management,Facilities Management,Bridgeview Building,2020 - Bridgeview Building,6310,Facilities Mgmt-Operating,EXPENSE,Other Services and Charges,9200,Electricity,37000,1563
FY19,Facilities & Fleet Management,Facilities Management,Bridgeview Building,2020 - Bridgeview Building,6310,Facilities Mgmt-Operating,EXPENSE,Other Services and Charges,9210,Natural Gas,11340,1564
FY19,Facilities & Fleet Management,Facilities Management,Bridgeview Building,2020 - Bridgeview Building,6310,Facilities Mgmt-Operating,EXPENSE,Other Services and Charges,9340,Maintenance Service,31548,1565
FY19,Facilities & Fleet Management,Fleet Management,Equipment Services,2030 - Equipment Services,6610,Motor Equipment-Operating,EXPENSE,Personnel Services,7105,Employers FICA,104906,1566
FY19,Facilities & Fleet Management,Fleet Management,Equipment Services,2030 - Equipment Services,6610,Motor Equipment-Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,316800,1567
FY19,Facilities & Fleet Management,Fleet Management,Equipment Services,2030 - Equipment Services,6610,Motor Equipment-Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,158155,1568
FY19,Facilities & Fleet Management,Fleet Management,Equipment Services,2030 - Equipment Services,6610,Motor Equipment-Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,290794,1569
FY19,Facilities & Fleet Management,Fleet Management,Equipment Services,2030 - Equipment Services,6610,Motor Equipment-Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,1774,1570
FY19,Facilities & Fleet Management,Fleet Management,Equipment Services,2030 - Equipment Services,6610,Motor Equipment-Operating,EXPENSE,Personnel Services,7165,Shift Differential,10000,1571
FY19,Facilities & Fleet Management,Fleet Management,Equipment Services,2030 - Equipment Services,6610,Motor Equipment-Operating,EXPENSE,Supplies,7520,Supplies,1595000,1572
FY19,Facilities & Fleet Management,Fleet Management,Equipment Services,2030 - Equipment Services,6610,Motor Equipment-Operating,EXPENSE,Other Services and Charges,9320,Vehicle Repairs,200000,1573
FY19,Facilities & Fleet Management,Fleet Management,Equipment Services,2030 - Equipment Services,6610,Motor Equipment-Operating,EXPENSE,Capital Outlays,9760,Equipment,50000,1574
FY19,Facilities & Fleet Management,Fleet Management,Equipment Services,2030 - Equipment Services,6610,Motor Equipment-Operating,EXPENSE,Capital Outlays,9805,Computer Equipment,10000,1575
FY19,Facilities & Fleet Management,Fleet Management,Equipment Services,2030 - Equipment Services,6610,Motor Equipment-Operating,EXPENSE,Capital Outlays,9840,Software,15000,1576
FY19,Facilities & Fleet Management,Facilities Management,City-County Complex 300 Monroe,2040 - City-County Complex 300 Monroe,6310,Facilities Mgmt-Operating,EXPENSE,Personnel Services,7020,Full Time Employees,137808,1577
FY19,Facilities & Fleet Management,Facilities Management,City-County Complex 300 Monroe,2040 - City-County Complex 300 Monroe,6310,Facilities Mgmt-Operating,EXPENSE,Personnel Services,7055,Time & One-half,8000,1578
FY19,Facilities & Fleet Management,Facilities Management,City-County Complex 300 Monroe,2040 - City-County Complex 300 Monroe,6310,Facilities Mgmt-Operating,EXPENSE,Personnel Services,7105,Employers FICA,11160,1579
FY19,Facilities & Fleet Management,Facilities Management,City-County Complex 300 Monroe,2040 - City-County Complex 300 Monroe,6310,Facilities Mgmt-Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,34560,1580
FY19,Facilities & Fleet Management,Facilities Management,City-County Complex 300 Monroe,2040 - City-County Complex 300 Monroe,6310,Facilities Mgmt-Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,17016,1581
FY19,Facilities & Fleet Management,Facilities Management,City-County Complex 300 Monroe,2040 - City-County Complex 300 Monroe,6310,Facilities Mgmt-Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,31272,1582
FY19,Facilities & Fleet Management,Facilities Management,City-County Complex 300 Monroe,2040 - City-County Complex 300 Monroe,6310,Facilities Mgmt-Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,204,1583
FY19,Facilities & Fleet Management,Facilities Management,City-County Complex 300 Monroe,2040 - City-County Complex 300 Monroe,6310,Facilities Mgmt-Operating,EXPENSE,Supplies,7520,Supplies,59000,1584
FY19,Facilities & Fleet Management,Facilities Management,City-County Complex 300 Monroe,2040 - City-County Complex 300 Monroe,6310,Facilities Mgmt-Operating,EXPENSE,Other Services and Charges,8400,Insurance Premiums,2333,1585
FY19,Facilities & Fleet Management,Facilities Management,City-County Complex 300 Monroe,2040 - City-County Complex 300 Monroe,6310,Facilities Mgmt-Operating,EXPENSE,Other Services and Charges,9180,Water,24100,1586
FY19,Facilities & Fleet Management,Facilities Management,City-County Complex 300 Monroe,2040 - City-County Complex 300 Monroe,6310,Facilities Mgmt-Operating,EXPENSE,Other Services and Charges,9200,Electricity,380000,1587
FY19,Facilities & Fleet Management,Facilities Management,City-County Complex 300 Monroe,2040 - City-County Complex 300 Monroe,6310,Facilities Mgmt-Operating,EXPENSE,Other Services and Charges,9210,Natural Gas,740,1588
FY19,Facilities & Fleet Management,Facilities Management,City-County Complex 300 Monroe,2040 - City-County Complex 300 Monroe,6310,Facilities Mgmt-Operating,EXPENSE,Other Services and Charges,9220,Steam,110000,1589
FY19,Facilities & Fleet Management,Facilities Management,City-County Complex 300 Monroe,2040 - City-County Complex 300 Monroe,6310,Facilities Mgmt-Operating,EXPENSE,Other Services and Charges,9340,Maintenance Service,220000,1590
FY19,Facilities & Fleet Management,Facilities Management,City-County Complex 300 Monroe,2040 - City-County Complex 300 Monroe,6310,Facilities Mgmt-Operating,EXPENSE,Other Services and Charges,9410,Equipment Rentals or Lease,1018,1591
FY19,Facilities & Fleet Management,Facilities Management,City-County Complex 300 Monroe,2040 - City-County Complex 300 Monroe,6310,Facilities Mgmt-Operating,EXPENSE,Other Services and Charges,9440,Fleet Management Equipment Charges,25245,1592
FY19,Facilities & Fleet Management,Facilities Management,City Hall Only-300 Monroe,2050 - City Hall Only-300 Monroe,6310,Facilities Mgmt-Operating,EXPENSE,Personnel Services,7055,Time & One-half,2900,1593
FY19,Facilities & Fleet Management,Facilities Management,City Hall Only-300 Monroe,2050 - City Hall Only-300 Monroe,6310,Facilities Mgmt-Operating,EXPENSE,Personnel Services,7105,Employers FICA,222,1594
FY19,Facilities & Fleet Management,Facilities Management,City Hall Only-300 Monroe,2050 - City Hall Only-300 Monroe,6310,Facilities Mgmt-Operating,EXPENSE,Supplies,7520,Supplies,2500,1595
FY19,Facilities & Fleet Management,Facilities Management,City Hall Only-300 Monroe,2050 - City Hall Only-300 Monroe,6310,Facilities Mgmt-Operating,EXPENSE,Other Services and Charges,9340,Maintenance Service,142274,1596
FY19,Facilities & Fleet Management,Facilities Management,City Hall Only-300 Monroe,2050 - City Hall Only-300 Monroe,6310,Facilities Mgmt-Operating,EXPENSE,Other Services and Charges,9630,Property Taxes,14420,1597
FY19,Facilities & Fleet Management,Facilities Management,333 Market-Fleet Facilities,2060 - 333 Market-Fleet Facilities,6310,Facilities Mgmt-Operating,EXPENSE,Personnel Services,7020,Full Time Employees,4895,1598
FY19,Facilities & Fleet Management,Facilities Management,333 Market-Fleet Facilities,2060 - 333 Market-Fleet Facilities,6310,Facilities Mgmt-Operating,EXPENSE,Personnel Services,7105,Employers FICA,380,1599
FY19,Facilities & Fleet Management,Facilities Management,333 Market-Fleet Facilities,2060 - 333 Market-Fleet Facilities,6310,Facilities Mgmt-Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,1440,1600
FY19,Police,Police,Admin-Internal Affairs,1040 - Admin-Internal Affairs,1010,General Fund Operating,EXPENSE,Other Services and Charges,8010,Contractual Services,10000,1601
FY19,Police,Police,Admin-Internal Affairs,1040 - Admin-Internal Affairs,1010,General Fund Operating,EXPENSE,Other Services and Charges,9330,Software Maintenance Agreements,1400,1602
FY19,Police,Police,Admin-Internal Affairs,1040 - Admin-Internal Affairs,1010,General Fund Operating,EXPENSE,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,13806,1603
FY19,Police,Police,Admin-Internal Affairs,1040 - Admin-Internal Affairs,1010,General Fund Operating,EXPENSE,Other Services and Charges,9440,Fleet Management Equipment Charges,8425,1604
FY19,Police,Police,Police-Patrol Unit-Patrol,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7020,Full Time Employees,13206062,1605
FY19,Police,Police,Police-Patrol Unit-Patrol,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7025,Acting Assignment,122000,1606
FY19,Police,Police,Police-Patrol Unit-Patrol,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7050,Regular Hourly Rate,123420,1607
FY19,Police,Police,Police-Patrol Unit-Patrol,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7055,Time & One-half,1512448,1608
FY19,Police,Police,Police-Patrol Unit-Patrol,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7105,Employers FICA,218071,1609
FY19,Police,Police,Police-Patrol Unit-Patrol,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,2592000,1610
FY19,Police,Police,Police-Patrol Unit-Patrol,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,2591894,1611
FY19,Police,Police,Police-Patrol Unit-Patrol,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,3852571,1612
FY19,Police,Police,Police-Patrol Unit-Patrol,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,18929,1613
FY19,Police,Police,Police-Patrol Unit-Patrol,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7165,Shift Differential,186048,1614
FY19,Police,Police,Police-Patrol Unit-Patrol,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7175,Food-Clean-Car Allowance,6480,1615
FY19,Police,Police,Police-Patrol Unit-Patrol,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7199,Default Payroll-Comp Abs,634534,1616
FY19,Police,Police,Police-Patrol Unit-Patrol,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,EXPENSE,Supplies,7520,Supplies,20200,1617
FY19,Police,Police,Police-Patrol Unit-Patrol,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,EXPENSE,Other Services and Charges,8010,Contractual Services,285520,1618
FY19,Police,Police,Police-Patrol Unit-Patrol,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,EXPENSE,Other Services and Charges,9130,Local Business Expense,8400,1619
FY19,Police,Police,Police-Patrol Unit-Patrol,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,EXPENSE,Other Services and Charges,9410,Equipment Rentals or Lease,154080,1620
FY19,Police,Police,Police-Patrol Unit-Patrol,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,EXPENSE,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,710351,1621
FY19,Police,Police,Police-Patrol Unit-Patrol,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,EXPENSE,Other Services and Charges,9440,Fleet Management Equipment Charges,1432703,1622
FY19,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,839,1623
FY19,Police,Police,Police-Patrol Unit-Patrol,2100 - Police-Patrol Unit-Patrol,1010,General Fund Operating,EXPENSE,Other Services and Charges,9470,Employee Parking,313605,1624
FY19,Police,Police,Patrol Unit-Special Serv,2200 - Patrol Unit-Special Serv,1010,General Fund Operating,EXPENSE,Personnel Services,7020,Full Time Employees,456720,1625
FY19,Police,Police,Patrol Unit-Special Serv,2200 - Patrol Unit-Special Serv,1010,General Fund Operating,EXPENSE,Personnel Services,7040,Temporary Noncontract Employees,506688,1626
FY19,Police,Police,Patrol Unit-Special Serv,2200 - Patrol Unit-Special Serv,1010,General Fund Operating,EXPENSE,Personnel Services,7050,Regular Hourly Rate,2040,1627
FY19,Police,Police,Patrol Unit-Special Serv,2200 - Patrol Unit-Special Serv,1010,General Fund Operating,EXPENSE,Personnel Services,7055,Time & One-half,84739,1628
FY19,Police,Police,Patrol Unit-Special Serv,2200 - Patrol Unit-Special Serv,1010,General Fund Operating,EXPENSE,Personnel Services,7105,Employers FICA,15229,1629
FY19,Police,Police,Patrol Unit-Special Serv,2200 - Patrol Unit-Special Serv,1010,General Fund Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,86400,1630
FY19,Police,Police,Patrol Unit-Special Serv,2200 - Patrol Unit-Special Serv,1010,General Fund Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,93127,1631
FY19,Police,Police,Patrol Unit-Special Serv,2200 - Patrol Unit-Special Serv,1010,General Fund Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,136375,1632
FY19,Police,Police,Patrol Unit-Special Serv,2200 - Patrol Unit-Special Serv,1010,General Fund Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,19863,1633
FY19,Police,Police,Patrol Unit-Special Serv,2200 - Patrol Unit-Special Serv,1010,General Fund Operating,EXPENSE,Personnel Services,7175,Food-Clean-Car Allowance,1080,1634
FY19,Police,Police,Patrol Unit-Special Serv,2200 - Patrol Unit-Special Serv,1010,General Fund Operating,EXPENSE,Supplies,7520,Supplies,22360,1635
FY19,Police,Police,Patrol Unit-Special Serv,2200 - Patrol Unit-Special Serv,1010,General Fund Operating,EXPENSE,Other Services and Charges,9150,Memberships,320,1636
FY19,Police,Police,Patrol Unit-Special Serv,2200 - Patrol Unit-Special Serv,1010,General Fund Operating,EXPENSE,Other Services and Charges,9330,Software Maintenance Agreements,1673,1637
FY19,Police,Police,Patrol Unit-Special Serv,2200 - Patrol Unit-Special Serv,1010,General Fund Operating,EXPENSE,Other Services and Charges,9340,Maintenance Service,4264,1638
FY19,Police,Police,Patrol Unit-Special Serv,2200 - Patrol Unit-Special Serv,1010,General Fund Operating,EXPENSE,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,58869,1639
FY19,Police,Police,Patrol Unit-Special Serv,2200 - Patrol Unit-Special Serv,1010,General Fund Operating,EXPENSE,Capital Outlays,9760,Equipment,27750,1640
FY19,Police,Police,Patrol Neighborhood Patrol,2300 - Patrol Neighborhood Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7020,Full Time Employees,1386368,1641
FY19,Police,Police,Patrol Neighborhood Patrol,2300 - Patrol Neighborhood Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7050,Regular Hourly Rate,5100,1642
FY19,Police,Police,Patrol Neighborhood Patrol,2300 - Patrol Neighborhood Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7055,Time & One-half,114188,1643
FY19,Police,Police,Patrol Neighborhood Patrol,2300 - Patrol Neighborhood Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7105,Employers FICA,22063,1644
FY19,Police,Police,Patrol Neighborhood Patrol,2300 - Patrol Neighborhood Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,273600,1645
FY19,Police,Police,Patrol Neighborhood Patrol,2300 - Patrol Neighborhood Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,260456,1646
FY19,Police,Police,Patrol Neighborhood Patrol,2300 - Patrol Neighborhood Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,383284,1647
FY19,Police,Police,Patrol Neighborhood Patrol,2300 - Patrol Neighborhood Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,2006,1648
FY19,Police,Police,Patrol Neighborhood Patrol,2300 - Patrol Neighborhood Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7165,Shift Differential,15300,1649
FY19,Police,Police,Patrol Neighborhood Patrol,2300 - Patrol Neighborhood Patrol,1010,General Fund Operating,EXPENSE,Personnel Services,7175,Food-Clean-Car Allowance,2160,1650
FY19,Police,Police,Patrol Neighborhood Patrol,2300 - Patrol Neighborhood Patrol,1010,General Fund Operating,EXPENSE,Supplies,7520,Supplies,18490,1651
FY19,Police,Police,SSD-GSSB-General Support Servi,3130 - SSD-GSSB-General Support Servi,1010,General Fund Operating,EXPENSE,Other Services and Charges,8240,Fees,750000,1652
FY19,Police,Police,Patrol Neighborhood Patrol,2300 - Patrol Neighborhood Patrol,1010,General Fund Operating,EXPENSE,Other Services and Charges,9410,Equipment Rentals or Lease,6371,1653
FY19,Police,Police,Patrol Neighborhood Patrol,2300 - Patrol Neighborhood Patrol,1010,General Fund Operating,EXPENSE,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,65739,1654
FY19,Police,Police,Patrol Neighborhood Patrol,2300 - Patrol Neighborhood Patrol,1010,General Fund Operating,EXPENSE,Other Services and Charges,9440,Fleet Management Equipment Charges,328879,1655
FY19,Police,Police,Patrol Neighborhood Patrol,2300 - Patrol Neighborhood Patrol,1010,General Fund Operating,EXPENSE,Capital Outlays,9760,Equipment,16000,1656
FY19,Police,Police,SSD-GSSB-Forensic Unit,3100 - SSD-GSSB-Forensic Unit,1010,General Fund Operating,EXPENSE,Personnel Services,7020,Full Time Employees,705129,1657
FY19,Police,Police,SSD-GSSB-Forensic Unit,3100 - SSD-GSSB-Forensic Unit,1010,General Fund Operating,EXPENSE,Personnel Services,7050,Regular Hourly Rate,2040,1658
FY19,Police,Police,SSD-GSSB-Forensic Unit,3100 - SSD-GSSB-Forensic Unit,1010,General Fund Operating,EXPENSE,Personnel Services,7055,Time & One-half,59052,1659
FY19,Police,Police,SSD-GSSB-Forensic Unit,3100 - SSD-GSSB-Forensic Unit,1010,General Fund Operating,EXPENSE,Personnel Services,7105,Employers FICA,58749,1660
FY19,Police,Police,SSD-GSSB-Forensic Unit,3100 - SSD-GSSB-Forensic Unit,1010,General Fund Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,158400,1661
FY19,Police,Police,SSD-GSSB-Forensic Unit,3100 - SSD-GSSB-Forensic Unit,1010,General Fund Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,94924,1662
FY19,Police,Police,SSD-GSSB-Forensic Unit,3100 - SSD-GSSB-Forensic Unit,1010,General Fund Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,174093,1663
FY19,Police,Police,SSD-GSSB-Forensic Unit,3100 - SSD-GSSB-Forensic Unit,1010,General Fund Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,970,1664
FY19,Police,Police,SSD-GSSB-Forensic Unit,3100 - SSD-GSSB-Forensic Unit,1010,General Fund Operating,EXPENSE,Personnel Services,7165,Shift Differential,2040,1665
FY19,Police,Police,SSD-GSSB-Forensic Unit,3100 - SSD-GSSB-Forensic Unit,1010,General Fund Operating,EXPENSE,Supplies,7520,Supplies,25000,1666
FY19,Police,Police,SSD-GSSB-Forensic Unit,3100 - SSD-GSSB-Forensic Unit,1010,General Fund Operating,EXPENSE,Other Services and Charges,9410,Equipment Rentals or Lease,3082,1667
FY19,Police,Police,SSD-GSSB-Forensic Unit,3100 - SSD-GSSB-Forensic Unit,1010,General Fund Operating,EXPENSE,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,41526,1668
FY19,Police,Police,SSD-GSSB-Forensic Unit,3100 - SSD-GSSB-Forensic Unit,1010,General Fund Operating,EXPENSE,Other Services and Charges,9440,Fleet Management Equipment Charges,33025,1669
FY19,Police,Police,SSD-GSSB-Forensic Unit,3100 - SSD-GSSB-Forensic Unit,1010,General Fund Operating,EXPENSE,Capital Outlays,9760,Equipment,3190,1670
FY19,Police,Police,SSD-GSSB-Property Mgmt,3110 - SSD-GSSB-Property Mgmt,1010,General Fund Operating,EXPENSE,Personnel Services,7020,Full Time Employees,229668,1671
FY19,Police,Police,SSD-GSSB-Property Mgmt,3110 - SSD-GSSB-Property Mgmt,1010,General Fund Operating,EXPENSE,Personnel Services,7050,Regular Hourly Rate,1020,1672
FY19,Police,Police,SSD-GSSB-Property Mgmt,3110 - SSD-GSSB-Property Mgmt,1010,General Fund Operating,EXPENSE,Personnel Services,7055,Time & One-half,12019,1673
FY19,Police,Police,SSD-GSSB-Property Mgmt,3110 - SSD-GSSB-Property Mgmt,1010,General Fund Operating,EXPENSE,Personnel Services,7105,Employers FICA,3513,1674
FY19,Police,Police,SSD-GSSB-Property Mgmt,3110 - SSD-GSSB-Property Mgmt,1010,General Fund Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,43200,1675
FY19,Police,Police,SSD-GSSB-Property Mgmt,3110 - SSD-GSSB-Property Mgmt,1010,General Fund Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,41506,1676
FY19,Police,Police,SSD-GSSB-Property Mgmt,3110 - SSD-GSSB-Property Mgmt,1010,General Fund Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,61184,1677
FY19,Police,Police,SSD-GSSB-Property Mgmt,3110 - SSD-GSSB-Property Mgmt,1010,General Fund Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,324,1678
FY19,Police,Police,SSD-GSSB-Property Mgmt,3110 - SSD-GSSB-Property Mgmt,1010,General Fund Operating,EXPENSE,Supplies,7520,Supplies,187425,1679
FY19,Police,Police,SSD-GSSB-Property Mgmt,3110 - SSD-GSSB-Property Mgmt,1010,General Fund Operating,EXPENSE,Other Services and Charges,9340,Maintenance Service,720,1680
FY19,Police,Police,SSD-GSSB-Property Mgmt,3110 - SSD-GSSB-Property Mgmt,1010,General Fund Operating,EXPENSE,Capital Outlays,9760,Equipment,101114,1681
FY19,Police,Police,SSD-GSSB-Records Unit,3120 - SSD-GSSB-Records Unit,1010,General Fund Operating,EXPENSE,Personnel Services,7020,Full Time Employees,231851,1682
FY19,Police,Police,SSD-GSSB-Records Unit,3120 - SSD-GSSB-Records Unit,1010,General Fund Operating,EXPENSE,Personnel Services,7055,Time & One-half,23969,1683
FY19,Police,Police,SSD-GSSB-Records Unit,3120 - SSD-GSSB-Records Unit,1010,General Fund Operating,EXPENSE,Personnel Services,7105,Employers FICA,19582,1684
FY19,Police,Police,SSD-GSSB-Records Unit,3120 - SSD-GSSB-Records Unit,1010,General Fund Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,72000,1685
FY19,Police,Police,SSD-GSSB-Records Unit,3120 - SSD-GSSB-Records Unit,1010,General Fund Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,31608,1686
FY19,Police,Police,SSD-GSSB-Records Unit,3120 - SSD-GSSB-Records Unit,1010,General Fund Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,57965,1687
FY19,Police,Police,SSD-GSSB-Records Unit,3120 - SSD-GSSB-Records Unit,1010,General Fund Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,311,1688
FY19,Police,Police,SSD-GSSB-Records Unit,3120 - SSD-GSSB-Records Unit,1010,General Fund Operating,EXPENSE,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,25037,1689
FY19,Police,Police,SSD-GSSB-General Support Servi,3130 - SSD-GSSB-General Support Servi,1010,General Fund Operating,EXPENSE,Personnel Services,7020,Full Time Employees,483236,1690
FY19,Police,Police,SSD-GSSB-General Support Servi,3130 - SSD-GSSB-General Support Servi,1010,General Fund Operating,EXPENSE,Personnel Services,7050,Regular Hourly Rate,1020,1691
FY19,Police,Police,SSD-GSSB-General Support Servi,3130 - SSD-GSSB-General Support Servi,1010,General Fund Operating,EXPENSE,Personnel Services,7055,Time & One-half,42070,1692
FY19,Police,Police,SSD-GSSB-General Support Servi,3130 - SSD-GSSB-General Support Servi,1010,General Fund Operating,EXPENSE,Personnel Services,7105,Employers FICA,19652,1693
FY19,Police,Police,SSD-GSSB-General Support Servi,3130 - SSD-GSSB-General Support Servi,1010,General Fund Operating,EXPENSE,Personnel Services,7110,Hospitalization Insurance,86400,1694
FY19,Police,Police,SSD-GSSB-General Support Servi,3130 - SSD-GSSB-General Support Servi,1010,General Fund Operating,EXPENSE,Personnel Services,7115,Retiree Health Care-OPEB,80985,1695
FY19,Police,Police,SSD-GSSB-General Support Servi,3130 - SSD-GSSB-General Support Servi,1010,General Fund Operating,EXPENSE,Personnel Services,7120,Retirement Fund Contribution,128138,1696
FY19,Police,Police,SSD-GSSB-General Support Servi,3130 - SSD-GSSB-General Support Servi,1010,General Fund Operating,EXPENSE,Personnel Services,7135,Unemployment Compensation,672,1697
FY19,Police,Police,SSD-GSSB-General Support Servi,3130 - SSD-GSSB-General Support Servi,1010,General Fund Operating,EXPENSE,Personnel Services,7175,Food-Clean-Car Allowance,1080,1698
FY19,Police,Police,SSD-GSSB-General Support Servi,3130 - SSD-GSSB-General Support Servi,1010,General Fund Operating,EXPENSE,Supplies,7520,Supplies,300318,1699
FY19,Police,Police,SSD-GSSB-General Support Servi,3130 - SSD-GSSB-General Support Servi,1010,General Fund Operating,EXPENSE,Supplies,7910,Subscriptions and Publications,6000,1700
FY19,Police,Police,SSD-GSSB-General Support Servi,3130 - SSD-GSSB-General Support Servi,1010,General Fund Operating,EXPENSE,Other Services and Charges,8010,Contractual Services,110000,1701
FY19,Police,Police,SSD-GSSB-General Support Servi,3130 - SSD-GSSB-General Support Servi,1010,General Fund Operating,EXPENSE,Other Services and Charges,8011,Contract Employees-Temporary Services,584400,1702
FY19,Fiscal Services,Fiscal Services,Budget Office,3000 - Budget Office,1010,General Fund Operating,EXPENSE,Capital Outlays,9805,Computer Equipment,1043,1703
FY19,Fiscal Services,Fiscal Services,Administration,1000 - Administration,1010,General Fund Operating,EXPENSE,Other Services and Charges,9110,Other Travel & Training,6000,1704
FY19,Police,Police,Metropolitan Enforcement Team,4220 - Metropolitan Enforcement Team,2651,Metropolitan Enforcement Team,EXPENSE,Personnel Services,7020,Full Time Employees,158400,1705
FY19,Police,Police,Investigations-Detective,4100 - Investigations-Detective,1010,General Fund Operating,EXPENSE,Personnel Services,7055,Time & One-half,327539,1706
FY19,Police,Police,SSD-GSSB-General Support Servi,3130 - SSD-GSSB-General Support Servi,1010,General Fund Operating,EXPENSE,Other Services and Charges,8500,Telephone,106940,1707
FY19,Police,Dispatch,Administration,1000 - Administration,2610,Community Dispatch,EXPENSE,Personnel Services,7135,Unemployment Compensation,3465,1708
FY19,Police,Police,Metropolitan Enforcement Team,4220 - Metropolitan Enforcement Team,2651,Metropolitan Enforcement Team,EXPENSE,Personnel Services,7105,Employers FICA,2328,1709
FY19,Police,Police,Metropolitan Enforcement Team,4220 - Metropolitan Enforcement Team,2651,Metropolitan Enforcement Team,EXPENSE,Personnel Services,7110,Hospitalization Insurance,28800,1710
